template_id,template_title,file_ext,figure_family,source_file
65,多因子蜂群图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/65.多因子蜂群图模板.pzf
66,彩色气泡热图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/66.彩色气泡热图模板.pzf
67,qPCR分段柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/67.qPCR分段柱状图模板.pzf
68,蝴蝶棒棒糖图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/68.蝴蝶棒棒糖图模板.pzf
69,箱线小提琴图,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/69.箱线小提琴图.pzf
7,趋势折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/7.趋势折线图模板.pzf
70,多组花花蜂群图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/70.多组花花蜂群图模板.pzf
71,WB多指标热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/71.WB多指标热图模板.pzf
72,多因子误差棒图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/72.多因子误差棒图模板.pzf
73,双Y轴相关性散点图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/73.双Y轴相关性散点图模板.pzf
74,蛋白差异火山图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/74.蛋白差异火山图模板.pzf
75,多组平滑曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/75.多组平滑曲线图模板.pzf
76,PCR多基因表达热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/76.PCR多基因表达热图模板.pzf
77,CCK8细胞增殖图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/77.CCK8细胞增殖图模板.pzf
78,EC50曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/78.EC50曲线图模板.pzf
79,荧光染色小提琴图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/79.荧光染色小提琴图模板.pzf
8,带误差棒堆积柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/8.带误差棒堆积柱状图模板.pzf
80,基因排序图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/80.基因排序图模板.pzf
81,超多组散点柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/81.超多组散点柱状图模板.pzf
82,带区间KM生存曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/82.带区间KM生存曲线图模板.pzf
83,彩色百分比堆积柱状图,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/83.彩色百分比堆积柱状图.pzf
84,水彩散点箱线图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/84.水彩散点箱线图模板.pzf
85,双向棒棒糖图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/85.双向棒棒糖图模板.pzf
86,区间波形图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/86.区间波形图模板.pzf
